timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,stage
1782658851877482,2,14,-0.0025884896,-0.03870602,-1.6023177,-0.06889298,-0.083554536,-0.17477602,0.0,0.0,-2.0,hover
1782658851927455,2,14,-0.0073165107,-0.041262243,-1.610731,-0.06651479,-0.06805441,-0.17217825,0.0,0.0,-2.0,hover
1782658851977827,2,14,-0.011109762,-0.042564817,-1.6179675,-0.06377393,-0.054882653,-0.1700895,0.0,0.0,-2.0,hover
1782658852027334,2,14,-0.014637709,-0.04321053,-1.6252568,-0.060661413,-0.042420313,-0.16803831,0.0,0.0,-2.0,hover
1782658852077917,2,14,-0.017726533,-0.043346435,-1.6326792,-0.056765217,-0.030610716,-0.16613597,0.0,0.0,-2.0,hover
1782658852127315,2,14,-0.020675188,-0.04297644,-1.6414601,-0.05167845,-0.018375687,-0.16353469,0.0,0.0,-2.0,hover
1782658852177550,2,14,-0.022659738,-0.042277504,-1.6489815,-0.046762574,-0.008857736,-0.16146165,0.0,0.0,-2.0,hover
1782658852227497,2,14,-0.02433202,-0.04111366,-1.6564456,-0.041876588,-0.00037435052,-0.15897138,0.0,0.0,-2.0,hover
1782658852277900,2,14,-0.025706226,-0.039513383,-1.663881,-0.03687168,0.0071240175,-0.15638648,0.0,0.0,-2.0,hover
1782658852327312,2,14,-0.026947344,-0.037157625,-1.6725152,-0.031138936,0.014553016,-0.1533436,0.0,0.0,-2.0,hover
1782658852377416,2,14,-0.027732806,-0.034714717,-1.67988,-0.0263254,0.020114996,-0.1505988,0.0,0.0,-2.0,hover
1782658852427483,2,14,-0.028214496,-0.031983454,-1.6870944,-0.02171102,0.024513781,-0.14776608,0.0,0.0,-2.0,hover
1782658852477414,2,14,-0.028334001,-0.029074082,-1.693957,-0.01697298,0.028158339,-0.1447234,0.0,0.0,-2.0,hover
1782658852527562,2,14,-0.028215215,-0.025721613,-1.7016371,-0.011736681,0.03097593,-0.14101803,0.0,0.0,-2.0,hover
1782658852577803,2,14,-0.028001938,-0.022831999,-1.7078307,-0.007640184,0.032578543,-0.1379538,0.0,0.0,-2.0,hover
1782658852627342,2,14,-0.027669806,-0.019911116,-1.7137519,-0.0037661728,0.03349729,-0.13496216,0.0,0.0,-2.0,hover
1782658852677453,2,14,-0.027067972,-0.016925907,-1.7195038,-7.031228e-05,0.033859033,-0.13207008,0.0,0.0,-2.0,hover
1782658852727401,2,14,-0.02601982,-0.013413781,-1.726086,0.0039418256,0.033836454,-0.12907761,0.0,0.0,-2.0,hover
1782658852777493,2,14,-0.02484634,-0.01047238,-1.7316208,0.0071024615,0.033232626,-0.1264326,0.0,0.0,-2.0,hover
1782658852827564,2,14,-0.023529265,-0.0075731897,-1.7370006,0.009874999,0.032421466,-0.12391582,0.0,0.0,-2.0,hover
1782658852877610,2,14,-0.022252642,-0.0046978747,-1.7423114,0.0122109605,0.03130618,-0.12174294,0.0,0.0,-2.0,hover
1782658852927294,2,14,-0.020907473,-0.0014470678,-1.7482928,0.014362455,0.029537616,-0.11920829,0.0,0.0,-2.0,hover
1782658852977462,2,14,-0.019931613,0.0011720199,-1.7533172,0.0156769,0.027902272,-0.1172566,0.0,0.0,-2.0,hover
1782658853027349,2,14,-0.019147394,0.003614388,-1.7582995,0.016340237,0.026148716,-0.11497041,0.0,0.0,-2.0,hover
1782658853077379,2,14,-0.018703787,0.0056723766,-1.7633493,0.016596807,0.023911208,-0.11314673,0.0,0.0,-2.0,hover
1782658853127547,2,14,-0.018413557,0.007568088,-1.7694098,0.016361555,0.020939225,-0.11093014,0.0,0.0,-2.0,hover
1782658853177499,2,14,-0.018166278,0.008663194,-1.7747841,0.016116528,0.017967522,-0.109080136,0.0,0.0,-2.0,hover
1782658853227361,2,14,-0.017900253,0.009324787,-1.7803488,0.0157501,0.014872587,-0.10700953,0.0,0.0,-2.0,hover
1782658853277792,2,14,-0.017524157,0.009469807,-1.7861636,0.015451132,0.011614365,-0.10482238,0.0,0.0,-2.0,hover
1782658853327343,2,14,-0.016965678,0.0091176,-1.7930105,0.01536561,0.007625832,-0.10203517,0.0,0.0,-2.0,hover
1782658853377362,2,14,-0.016389437,0.008423251,-1.7988391,0.015385281,0.004287762,-0.09938537,0.0,0.0,-2.0,hover
1782658853427353,2,14,-0.015846103,0.007456902,-1.8045497,0.015116189,0.001163792,-0.096512735,0.0,0.0,-2.0,hover
1782658853477690,2,14,-0.015490776,0.006382517,-1.8100841,0.014852411,-0.0014145316,-0.093343556,0.0,0.0,-2.0,hover
